Generation, Population, AVG_speed, AVG_size, AVG_sense 
835,46,1.7,10,108.3
836,42,1.5,8.5,113
837,50,1.6,10,112.3
838,48,1.4,10,115.4
839,41,1.5,9.7,108.3
840,41,1.6,9.5,110.4
841,49,1.4,10.2,113.2
842,47,1.6,8.7,109.3
843,39,1.5,9.4,113.5
844,47,1.4,9.6,117.8
845,44,1.5,9.6,116.2
846,45,1.4,9.6,108.2
847,46,1.5,9.6,106.6
848,48,1.4,10.7,111.8
849,45,1.6,9.3,109.7
850,45,1.4,8.8,111.8
851,46,1.4,9.5,115
852,50,1.5,9.9,110.1
853,46,1.5,9.6,109.4
854,47,1.5,9.8,113
855,52,1.5,9.8,114.2
856,43,1.5,9.3,110.3
857,44,1.5,9.4,120.1
858,44,1.6,9.3,109.6
859,40,1.6,9.9,111.9
860,40,1.6,9.4,113
861,41,1.5,9.5,114.1
862,45,1.5,9.2,110.6
863,47,1.6,9.7,112
864,42,1.4,9.8,112.8
865,48,1.5,9.4,112.6
866,46,1.5,9.2,113.7
867,44,1.5,9.1,108
868,46,1.6,9.3,114
869,44,1.5,8.8,111.7
870,47,1.4,9.5,112.8
871,47,1.6,9.4,117
872,50,1.5,8.8,113.5
873,48,1.5,9.4,111.9
874,51,1.5,9.5,109.2
875,46,1.5,9.4,115.2
876,42,1.5,9.7,109.7
877,47,1.6,8.7,108.3
878,47,1.4,9,104.2
879,48,1.5,10.3,109.5
880,49,1.5,9.2,110.5
881,47,1.5,10.2,112.4
882,50,1.5,9.7,116.1
883,48,1.5,9.6,110.5
884,49,1.6,10.2,113.7
885,46,1.7,9.9,106
886,42,1.5,9.5,107.7
887,40,1.4,8.8,114.8
